"","Date","lat","lon","dep","yr","mag"
"1",1900-01-05,-3,102,0,1900,7
"2",1900-01-11,-5,148,0,1900,7
"3",1900-01-18,44.5,148.5,35,1900,6.7
"4",1900-01-20,20,-105,0,1900,7.3
"5",1900-01-31,48,146,450,1900,7.5
"6",1900-04-24,27,126.5,35,1900,6.9
"7",1900-05-11,38.7,141.1,5,1900,7
"8",1900-05-16,20,-105,0,1900,6.9
"9",1900-06-21,10,-85.5,0,1900,7.2
"10",1900-07-29,-10,165,0,1900,7.6
"11",1900-08-05,37.3,141.7,35,1900,6.6
"12",1900-08-29,41.2,142.8,35,1900,6.8
"13",1900-09-17,-5,148,0,1900,7.1
"14",1900-10-07,-4,140,0,1900,6.9
"15",1900-10-09,57.09,-153.48,0,1900,7.7
"16",1900-10-29,11,-66,0,1900,7.7
"17",1900-11-05,33.9,139.4,5,1900,6.6
"18",1900-11-09,13,-90,0,1900,7
"19",1900-11-12,3,147,0,1900,6.9
"20",1900-11-24,43.5,148,35,1900,7
"21",1900-12-25,43,146,35,1900,7.1
"22",1901-01-07,-2,-82,0,1901,7.2
"23",1901-01-13,42.3,143.8,35,1901,6.8
"24",1901-01-18,60,-135,0,1901,7.1
"25",1901-02-15,26,100.1,0,1901,6.5
"26",1901-03-05,25,-110,0,1901,6.9
"27",1901-03-16,-10,40,0,1901,6.9
"28",1901-04-05,2,130,0,1901,6.8
"29",1901-04-05,44.5,149,35,1901,7.3
"30",1901-04-21,29.5,90.1,0,1901,6.8
"31",1901-05-14,44.5,149,35,1901,6.6
"32",1901-05-25,-10,160,0,1901,7.2
"33",1901-06-15,39,143,35,1901,7
"34",1901-06-24,28,130,35,1901,7.2
"35",1901-06-24,28,130,35,1901,6.5
"36",1901-08-09,40.5,142.5,35,1901,7.2
"37",1901-08-09,-22,170,0,1901,7.9
"38",1901-08-09,40.6,142.3,35,1901,7.5
"39",1901-08-10,-5,155,0,1901,6.9
"40",1901-08-11,-23,178,0,1901,6.8
"41",1901-09-08,-11,170,0,1901,6.9
"42",1901-09-30,40.2,141.9,35,1901,6.8
"43",1901-10-08,13,-87,0,1901,7.1
"44",1901-11-15,-43,173,0,1901,6.8
"45",1901-11-25,3,127,0,1901,7
"46",1901-12-09,26,-110,0,1901,7.1
"47",1901-12-14,14,122,0,1901,7
"48",1901-12-31,52,-177,0,1901,7.1
"49",1902-01-01,55,-165,0,1902,7
"50",1902-01-12,3,122,0,1902,7
"51",1902-01-17,41.6,141.9,35,1902,6.5
"52",1902-01-24,-8,150,0,1902,7.2
"53",1902-01-30,40.5,141.3,35,1902,6.9
"54",1902-01-30,40.9,141.7,0,1902,6.9
"55",1902-01-31,41.6,142.2,35,1902,6.6
"56",1902-02-09,-20,-174,0,1902,6.9
"57",1902-02-09,-43,-171,0,1902,6.9
"58",1902-02-17,20,-70,0,1902,6.9
"59",1902-02-20,41.4,141.8,35,1902,6.7
"60",1902-03-05,-20,-70,0,1902,6.8
"61",1902-03-22,35,-120,0,1902,6.8
"62",1902-03-28,0,133,0,1902,6.9
